Type,Day of Week,Description,Status,ToDoW,DoneW
Undated,,Review Ana Trust document,0,1,
Undated,,Read Constitution,0,1,
Undated,,Scan Polaroids,0,1,
Undated,,Update Rower Firmware,0,1,
Undated,,Scan Mother’s Family Pictures *,0,2,
Undated,,Scan Baptism pictures,0,1,
Undated,,Send Jodi apartment plans and pictures,0,1,
Undated,,Cash Savings Bonds - September 2022,0,1,
Undated,,Ask Ana about Walt Whitman book,0,1,
Undated,,Go to Guggenheim with Chase Arts & Culture,0,1,
Undated,,Plan Governors Island trip,0,1,
Undated,,Do Houzz.com review of Spivak Architects *,0,2,
Undated,,Make print of Bloomberg picture,0,1,
Undated,,See Grant’s Tomb (Wednesday to Saturday),0,1,
Undated,,Inventory valuables for insurance,0,1,
Undated,,Write up Alumni Society Slack introduction *,0,2,
Undated,,Try stain or Plastic Wood on closet nick,0,1,
Soon,,Look for Watermark parts,0,1,
Soon,,Start working on MachineWhisper.com Mission Statement *,0,2,
Soon,,Read Lourdes' articles on estate finance,0,1,
Soon,,Find someone to strip tub,0,1,
Soon,,Inventory spices,0,1,
Soon,,Research wireless thermostat,0,1,
Soon,,Try to sell Mother's surplus German Kitchen stuff,0,1,
Soon,,Update Columbia Alumni Profile *,0,2,
Soon,,Consolidate Toolboxes *,0,2,
Soon,,Get Mother's hearing aid adjusted,0,1,
Soon,,Polish copper milk steamers,0,1,
Soon,,Get credit for Bullfighting Speech on Toastmasters website,0,1,
Soon,,Organize Mothers container drawer,0,1,
Soon,,Figure out if Mother has AARP membership,0,1,
Soon,,Set up Social Security online,0,1,
Soon,,Work on machinewhisper.com home page +,0,3,
Soon,,Turn off VFlash email account,0,1,
Soon,,Organize Black Cabinet drawer,0,1,
Soon,,Find out about DR lawyers,0,1,
Soon,,Clean Mother’s balcony windows *,0,2,
Soon,,Purge wooden file cabinet *,0,2,
Soon,,Purge black file cabinet *,0,2,
Soon,,Purge hanging file cabinet *,0,2,
Soon,,Re-clean balcony windows *,0,2,
Soon,,Practice with portable bicycle pump,0,1,
Soon,,Organize desk bookshelf,0,1,
Soon,,Try superfine steel wool on table legs,0,1,
Soon,,Replace bedroom heating unit cover screw,0,1,
Soon,,Rearrange Liquor Cabinet,0,1,
Soon,,Fix Bedroom Bookshelf +,0,3,
Soon,,Set up Zoom call with Lorne and Jacquie,0,1,
Soon,,Refinish Desk Area Radiator Cover ^,0,4,
Soon,,Look into TC Career Resources www.tc.columbia.edu/tcnext/,0,1,
Soon,,Write message to Jay about Data Analytics Boot Camp,0,1,
Soon,,Look at Instagram for presence,0,1,
Soon,,Look at Twitter for presence,0,1,
Soon,,Write review for Lukasz *,0,2,
Soon,,Try to fix TM spreadsheet *,0,2,
Soon,,Find Coursera JavaScript course,0,1,
Soon,,Start SAS Training,0,1,
Soon,,Ask Zev about where Amanda should put her money,0,1,
Soon,,Get Mother's hearing aid records transferred,0,1,
Soon,,Attend a Spanish Toastmasters Group +,0,3,
Soon,,Fix notch on living room radiator cover *,0,2,
Soon,,Add Population Density to Climate Change Dashboard +,0,3,
Soon,,Make tiny Python application to count glasses of water +,0,3,
Soon,,Make MachineWhisper.com Under Construction landing page,0,1,
Soon,,Cancel The Economist before July 10th,0,1,
Soon,,Store Humidifier +,0,3,
Soon,,Fashion stay-on feet for Mother’s plant stands +,0,3,
Soon,,Review Wool Socks,0,1,
Soon,,Look into Mother's prescription coverage,0,1,
Soon,,Look for The Alchemist at a used book store,0,1,
Soon,,Make sure Amanda’s bike is insured,0,1,
Soon,,Write letter to Ira Meister about cat smell in 32F *,0,2,
Next,,Document Sanjay Gupta's 12 Week Program +,0,3,
Next,,Register NetGear stuff,0,1,
Next,,Read up on the election - Gothamist,0,1,
Next,,Sign up for NYC Parking App,0,1,
Next,,Contact Townsend Baldwin for Lunch or a Walk *,0,2,
Next,,Move Accomplishments Undone to separate tab,0,1,
Next,,Look up Vienna Bike Riding,0,1,
Next,,Fix HBOMax,0,1,
Next,,Complete Toastmasters Path +,0,3,
6/11/21,Friday,Yoga *,0,2,
6/11/21,Friday,Push-ups 65 *,0,2,
6/10/21,Thursday,Set up Toyota stolen car locator,0,1,
6/10/21,Thursday,Find recipe to use garlic,0,1,
6/10/21,Thursday,Check IRA balance and ask for extra distribution,0,1,
6/10/21,Thursday,Work on list of contacts to warm up +,0,3,
6/10/21,Thursday,Apply to more jobs +,0,3,
6/10/21,Thursday,Make Garlic Soup,0,1,
6/10/21,Thursday,Work on Coursera R Course +,0,3,
6/10/21,Thursday,Continue Data Analytics course on PC  +,0,3,
6/10/21,Thursday,Clean CPAP Mask -,0,0,
6/9/21,Wednesday,Yoga *,1,,2
6/9/21,Wednesday,Trim nails,1,,1
6/9/21,Wednesday,Verify garage account,1,,1
6/9/21,Wednesday,Empty Shredder,1,,1
6/9/21,Wednesday,Clear Desk ^,1,,4
6/9/21,Wednesday,Print out Global Entry Interview Info,1,,1
6/9/21,Wednesday,Check Zipcar account,1,,1
6/9/21,Wednesday,Order Mother's ink cartridges Epson 288XL,1,,1
6/9/21,Wednesday,Preview bill paying *,1,,2
6/8/21,Tuesday,Yoga *,1,,2
6/8/21,Tuesday,Crunches - 90 *,1,,2
6/8/21,Tuesday,Cut Toenails,1,,1
6/8/21,Tuesday,Put next CS meeting on calendar,1,,1
6/8/21,Tuesday,Download Sources of Power PFDs,1,,1
6/8/21,Tuesday,Prepare for air conditioners purge +,1,,3
6/8/21,Tuesday,Compile Toastmasters Participation Information,1,,1
6/8/21,Tuesday,Get air conditioners purged *,1,,2
6/8/21,Tuesday,Look at Toastmasters  Members Education situation +,1,,3
6/8/21,Tuesday,Get parking web account working *,1,,2
6/8/21,Tuesday,Have parking automatically charged *,1,,2
6/8/21,Tuesday,Complete TM Persuasive Influence - Active Listening +,1,,3
6/8/21,Tuesday,Continue Toastmasters Innovative Planning - Mentoring *,1,,2
6/8/21,Tuesday,Meet with Artie about Pathways +,1,,3
6/8/21,Tuesday,Make gnocchi dinner +,1,,3
6/7/21,Monday,Yoga *,1,,2
6/7/21,Monday,Push-ups 60 *,1,,2
6/7/21,Monday,Record Air Conditioner Temps,1,,1
6/7/21,Monday,Exercise - Bicycling *,1,,2
6/7/21,Monday,Set up Citibike ride tracking,1,,1
6/7/21,Monday,Unpair watch and attempt upgrade,1,,1
6/7/21,Monday,Download the Problem of Leisure,1,,1
6/6/21,Sunday,Yoga *,1,,2
6/6/21,Sunday,Crunches 90 *,1,,2
6/6/21,Sunday,Practice driving with Amanda ^,1,,4
6/6/21,Sunday,Drive to Atlantic Avenue in Brooklyn +,1,,3
6/5/21,Saturday,Prepare Amanda's bicycle,1,,1
6/5/21,Saturday,Throw out buggy plant,1,,1
6/5/21,Saturday,Cut Nails,1,,1
6/5/21,Saturday,Backup MacBook *,1,,2
6/5/21,Saturday,Practice driving with Amanda +,1,,3
6/5/21,Saturday,Get rid of Mother's hair coloring products,1,,1
6/5/21,Saturday,Clean Mother’s frying pan,1,,1
6/5/21,Saturday,Clean shaver,1,,1
6/5/21,Saturday,Help install Teresa's air conditioner +,1,,3
6/4/21,Friday,Get Bagels,1,,1
6/4/21,Friday,Do Laundry and Shower Curtain Liner +,1,,3
